snippets|{"l":["p:0-day-analytics:100"]}
cmplz_cookiebanners|{"l":[]}
wc_ukr_shipping_np_cities|{"l":[]}
wfsnipcache|{"l":["p:admin-site-enhancements-pro:35"]}
shortpixel_meta|{"l":["p:admin-site-enhancements-pro:66.67"]}
wfpendingissues|{"l":[]}
revslider_slides7|{"l":["p:revslider:94.12"]}
wfls_2fa_secrets|{"l":[]}
am_suppression_list|{"l":[]}
revslider_sliders7|{"l":["p:revslider:94.44"]}
ctf_feeds_posts|{"l":[]}
ctf_posts|{"l":["p:sportspress-pro:77.78"]}
wpforms_logs|{"l":["p:google-site-kit:66.67"]}
wfknownfilelist|{"l":[]}
am_tracking_pixels|{"l":["p:woocommerce:88.89"]}
shortpixel_postmeta|{"l":["p:admin-site-enhancements-pro:52.63"]}
cmplz_cookies|{"l":["p:js_composer:35"]}
shortpixel_folders|{"l":["p:admin-site-enhancements-pro:55.56"]}
rank_math_404_logs|{"l":["p:admin-site-enhancements-pro:55.56"]}
wfwaffailures|{"l":[]}
wflivetraffichuman|{"l":[]}
wfstatus|{"l":["p:0-day-analytics:75"]}
rank_math_redirections|{"l":["p:admin-site-enhancements-pro:45.45"]}
aioseo_cache|{"l":["p:wpcode-premium:58.33"]}
rank_math_internal_links|{"l":["p:admin-site-enhancements-pro:41.67"]}
BIR_replace_an_image|{"l":[]}
am_tracking_links|{"l":["p:admin-site-enhancements-pro:88.24"]}
wpml_mails|{"l":["p:0-day-analytics:70"]}
shortpixel_aipostmeta|{"l":["p:admin-site-enhancements-pro:47.62"]}
wpforms_payments|{"l":["p:google-site-kit:50"]}
am_email_events|{"l":[]}
backup_snippets|{"l":["p:admin-site-enhancements-pro:53.33"]}
am_recipient_profiles|{"l":[]}
wfls_role_counts|{"l":[]}
wfsecurityevents|{"l":[]}
wfls_settings|{"l":["p:officials-templates-for-sportspress:84.62"]}
post_smtp_logmeta|{"l":["p:0-day-analytics:58.82"]}
